experiment;startinf;startsup;endinf;endsup;duration
hist;1979-06-30;1980-01-01;2014-06-30;2015-01-01;35
ctrl;1979-06-30;1980-01-01;2100-06-30;2101-01-01;120
ctrl_proj;2015-01-01;2016-01-02;2100-07-01;2101-01-01;86
exp01;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp02;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp03;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp04;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp05;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp06;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp07;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp08;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp09;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp10;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp11;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp12;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
exp13;2015-01-01;2016-01-02;2100-06-30;2101-01-01;86
